Company,Job Title,Location,Link,Source
Deloitte IL,Security & Technology Risk Management and AI Assurance Manager,Tel-Aviv,https://careers.deloitte.co.il/position/43-a6d-en/,comeet
Deloitte IL,Tax Manager,Tel-Aviv,https://careers.deloitte.co.il/position/30-d61-en/,comeet
Deloitte IL,Tax Manager- Quality Control,Tel-Aviv,https://careers.deloitte.co.il/position/32-f67-en/,comeet
Deloitte IL,US Tax Manager,Tel-Aviv,https://careers.deloitte.co.il/position/13-56b-en/,comeet
Fiverr,Customer Support Operations Manager,Tel Aviv,https://www.fiverr.com/jobs/NEQuQjZE,comeet
Fiverr,Product Analyst,Tel Aviv,https://www.fiverr.com/jobs/QkMuNTY2,comeet
Fiverr,Program Manager - CTO Office (Maternity Leave Replacement),Tel Aviv,https://www.fiverr.com/jobs/RjQuNzFF,comeet
Forter,"Staff Engineer, Data Products ",Israel - Tel Aviv,https://job-boards.greenhouse.io/forter/jobs/8572319002,greenhouse
Gong,Accounts Payable Manager,Tel Aviv,https://job-boards.greenhouse.io/gongio/jobs/4699925006,greenhouse
HUMAN,People Operations Specialist - Maternity Leave Coverage,"Tel Aviv, Israel",https://jobs.ashbyhq.com/human/084c91fa-bb97-4fe4-a359-15bb99b087d4,ashby
Intel,Instrumentation & Controls Project Engineer | Semiconductor Construction,"Israel, Kiryat-Gat",https://intel.wd1.myworkdayjobs.com/External/job/Israel-Kiryat-Gat/Instrumentation---Controls-Project-Engineer---Semiconductor-Construction_JR0285954,workday
Intel,"Non Tech Student for Project Management – Government, Policy & Community Group","Israel, Haifa",https://intel.wd1.myworkdayjobs.com/External/job/Israel-Haifa/Student-Project-Management-Intern---Government--Policy---Community-Group_JR0285838,workday
Intel,Tool Install Design Manager,"Israel, Kiryat-Gat",https://intel.wd1.myworkdayjobs.com/External/job/Israel-Kiryat-Gat/Tool-Install-Design-Manager_JR0285959,workday
JFrog,Director of Product Management - Artifactory,"Tel Aviv/ Netanya, Israel",https://join.jfrog.com/job/?job=6861996&gh_jid=6861996,greenhouse
Jewish Agency,העסקה באמצעות אופק ישראלי - מנהל/ת מערכת,ירושלים,https://careers.jewishagency.org/career/%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%90%d7%95%d7%a4%d7%a7-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa/,comeet
Jewish Agency,העסקה באמצעות החוויה הישראלית - רכז/ת אדמיניסטרציה ותפעול,ירושלים,https://careers.jewishagency.org/career/%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%94%d7%97%d7%95%d7%95%d7%99%d7%94-%d7%94%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%aa-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%90%d7%93/,comeet
Jewish Agency,העסקה באמצעות פותחים עתיד - מנהל/ת יישובי/ת,טבריה,https://careers.jewishagency.org/career/%D7%94%D7%A2%D7%A1%D7%A7%D7%94-%D7%91%D7%90%D7%9E%D7%A6%D7%A2%D7%95%D7%AA-%D7%A4%D7%95%D7%AA%D7%97%D7%99%D7%9D-%D7%A2%D7%AA%D7%99%D7%93-%D7%9E%D7%A0%D7%94%D7%9C-%D7%AA-%D7%99%D7%99%D7%A9%D7%95%D7%91/,comeet
Jewish Agency,העסקה באמצעות פותחים עתיד - מנהל/ת ישובי/ת,נוף הגליל,https://careers.jewishagency.org/career/%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%a4%d7%95%d7%aa%d7%97%d7%99%d7%9d-%d7%a2%d7%aa%d7%99%d7%93-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%99%d7%a9%d7%95%d7%91%d7%99/,comeet
Jewish Agency,העסקה באמצעות פותחים עתיד - רכז/ת ישובי/ת,שלומי,https://careers.jewishagency.org/career/%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%a4%d7%95%d7%aa%d7%97%d7%99%d7%9d-%d7%a2%d7%aa%d7%99%d7%93-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%99%d7%a9%d7%95%d7%91%d7%99/,comeet
Jewish Agency,ממונה קידום מוצרי עלייה,ירושלים,https://careers.jewishagency.org/career/%d7%9e%d7%9e%d7%95%d7%a0%d7%94-%d7%a7%d7%99%d7%93%d7%95%d7%9d-%d7%9e%d7%95%d7%a6%d7%a8%d7%99-%d7%a2%d7%9c%d7%99%d7%99%d7%94/,comeet
Jewish Agency,מנהל/ת פיתוח עסקי ומכירות בפעילות מול יהודי התפוצות -   SparkIL העסקה באמצעות,ירושלים,https://careers.jewishagency.org/career/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%a2%d7%a1%d7%a7%d7%99-%d7%95%d7%9e%d7%9b%d7%99%d7%a8%d7%95%d7%aa-%d7%91%d7%a4%d7%a2%d7%99%d7%9c%d7%95%d7%aa-%d7%9e%d7%95%d7%9c-%d7%99/,comeet
Jewish Agency,מנהל/ת שותפויות קליבלנד,בית שאן,https://careers.jewishagency.org/career/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a9%d7%95%d7%aa%d7%a4%d7%95%d7%99%d7%95%d7%aa-%d7%a7%d7%9c%d7%99%d7%91%d7%9c%d7%a0%d7%93/,comeet
Jewish Agency,עובד/ת סוציאלי/ת - מרכז קליטה כרמיאל,כרמיאל,https://careers.jewishagency.org/career/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99-%d7%aa-%d7%9e%d7%a8%d7%9b%d7%96-%d7%a7%d7%9c%d7%99%d7%98%d7%94-%d7%9b%d7%a8%d7%9e%d7%99%d7%90%d7%9c/,comeet
Jewish Agency,עובד/ת סוציאלי/ת מרכז קליטה תבור,נוף הגליל,https://careers.jewishagency.org/career/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99-%d7%aa-%d7%9e%d7%a8%d7%9b%d7%96-%d7%a7%d7%9c%d7%99%d7%98%d7%94-%d7%aa%d7%91%d7%95%d7%a8/,comeet
Jewish Agency,"רכז/ת חוויות ופרויקטים במכון למדריכי חו""ל",ירושלים,https://careers.jewishagency.org/career/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%97%d7%95%d7%95%d7%99%d7%95%d7%aa-%d7%95%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98%d7%99%d7%9d-%d7%91%d7%9e%d7%9b%d7%95%d7%9f-%d7%9c%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99-%d7%97/,comeet
Jewish Agency,רכז/ת פרויקט דילר ירוחם -75% משרה,ירוחם,https://careers.jewishagency.org/career/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-%d7%93%d7%99%d7%9c%d7%a8-%d7%99%d7%a8%d7%95%d7%97%d7%9d-75-%d7%9e%d7%a9%d7%a8%d7%94/,comeet
Jewish Agency,רכז/ת קשרי גומלין שותפות ירוחם,ירוחם,https://careers.jewishagency.org/career/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a7%d7%a9%d7%a8%d7%99-%d7%92%d7%95%d7%9e%d7%9c%d7%99%d7%9f-%d7%a9%d7%95%d7%aa%d7%a4%d7%95%d7%aa-%d7%99%d7%a8%d7%95%d7%97%d7%9d/,comeet
Jewish Agency,"רכז/ת תכנית צעירים - למרכז צעירים ""בית ברודצקי"" תל אביב",תל אביב,https://careers.jewishagency.org/career/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%aa%d7%9b%d7%a0%d7%99%d7%aa-%d7%a6%d7%a2%d7%99%d7%a8%d7%99%d7%9d-%d7%9c%d7%9e%d7%a8%d7%9b%d7%96-%d7%a6%d7%a2%d7%99%d7%a8%d7%99%d7%9d-%d7%91%d7%99%d7%aa-%d7%91%d7%a8/,comeet
Jewish Agency,רכז/ת תפעול צפון,גליל מערבי,https://careers.jewishagency.org/career/%D7%A8%D7%9B%D7%96-%D7%AA-%D7%AA%D7%A4%D7%A2%D7%95%D7%9C-%D7%A6%D7%A4%D7%95%D7%9F/?fbclid=IwY2xjawP-1JFleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR45qPsVG4q_TS2TZjksq9YL5_oFYICcxSNfkC3GfhWiLQcJqMAssFnFi2K4gQ_aem_gz3OFzmu7W_uaZgu0YKTXQ,comeet
Jewish Agency,שליח ושליחת יהדות - פרויקט גיור עולי אתיופיה,טבריה,https://careers.jewishagency.org/career/%d7%a9%d7%9c%d7%99%d7%97-%d7%95%d7%a9%d7%9c%d7%99%d7%97%d7%aa-%d7%99%d7%94%d7%93%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-%d7%92%d7%99%d7%95%d7%a8-%d7%a2%d7%95%d7%9c%d7%99-%d7%90%d7%aa%d7%99/,comeet
Jewish Agency,שליח ושליחת יהדות - פרויקט גיור עולי בני המנשה,נוף הגליל,https://careers.jewishagency.org/career/%d7%a9%d7%9c%d7%99%d7%97-%d7%95%d7%a9%d7%9c%d7%99%d7%97%d7%aa-%d7%99%d7%94%d7%93%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-%d7%92%d7%99%d7%95%d7%a8-%d7%a2%d7%95%d7%9c%d7%99-%d7%91%d7%a0%d7%99/,comeet
Jewish Agency,שליח יהדות - פרויקט גיור עולי אתיופיה,באר שבע,https://careers.jewishagency.org/career/%d7%a9%d7%9c%d7%99%d7%97-%d7%99%d7%94%d7%93%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-%d7%92%d7%99%d7%95%d7%a8-%d7%a2%d7%95%d7%9c%d7%99-%d7%90%d7%aa%d7%99%d7%95%d7%a4%d7%99%d7%94/,comeet
Jewish Agency,שליחת יהדות - פרויקט גיור עולי אתיופיה,באר שבע,https://careers.jewishagency.org/career/%d7%a9%d7%9c%d7%99%d7%97%d7%aa-%d7%99%d7%94%d7%93%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-%d7%92%d7%99%d7%95%d7%a8-%d7%a2%d7%95%d7%9c%d7%99-%d7%90%d7%aa%d7%99%d7%95%d7%a4%d7%99%d7%94/,comeet
Lemonade,Staff Growth Product Manager,TLV,https://jobs.ashbyhq.com/lemonade/ac767918-3137-4abb-a277-892f157c6898,ashby
Max Security,Customer Success Manager,Tel Aviv Yaffo,https://www.max-security.com/careers-israel/co/tel-aviv-yaffo/30.F6B/customer-success-manager/all/,comeet
Nvidia,Customer Program Manager - Generative AI,3 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Customer-Program-Manager---Generative-AI_JR2017408,workday
Payoneer,Growth Operations Manager - Temporary Position,"Herzliya, Tel Aviv District, Israel",https://www.payoneer.com/careers/position/8067187/?gh_jid=8067187,greenhouse
Payoneer,"Principal Product Manager, Core AI","Herzliya, Tel Aviv District, Israel",https://www.payoneer.com/careers/position/7925955/?gh_jid=7925955,greenhouse
Riskified,Payment Fraud Product Manager,Tel Aviv,https://www.riskified.com/careers/job-description/?gh_jid=8591838002,greenhouse
Riskified,Product Manager (Policy Protect),Tel Aviv,https://www.riskified.com/careers/job-description/?gh_jid=8591836002,greenhouse
Riskified,Software Engineering Manager,Tel Aviv,https://www.riskified.com/careers/job-description/?gh_jid=8623925002,greenhouse
SafeBreach,Lab Manager,Tel Aviv,https://job-boards.greenhouse.io/safebreach/jobs/4291547009,greenhouse
Salt Security,Technical Marketing Manager,Tel Aviv,https://salt.security/job-board?gh_jid=5164439007,greenhouse
ServiceNow,Sr Software Engineer - Product Security,"Petah Tikva, , Israel",https://jobs.smartrecruiters.com/ServiceNow/744000140389389,smartrecruiters
ServiceNow,Staff Software Engineer - Product Security,"Petah Tikva, , Israel",https://jobs.smartrecruiters.com/ServiceNow/744000139062045,smartrecruiters
Similarweb,User Acquisition Manager,"Tel Aviv-Yafo, Israel",https://job-boards.greenhouse.io/similarweb/jobs/8009523,greenhouse
Sisense,Technical Account Manager,"Tel Aviv-Yafo, Gush Dan, Israel",https://www.sisense.com/about/careers/8073774?gh_jid=8073774,greenhouse
Smiths Group,Israel Service Logistics Coordinator,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/SmithsGroup2/744000134008129,smartrecruiters
Sweep,Customer Success Manager,Tel Aviv,https://jobs.ashbyhq.com/sweep/a0a0f39a-ad0a-4137-b0ec-9760e574ba4b,ashby
Sweet Security,Product Designer,"Tel - Aviv, Israel ",https://job-boards.eu.greenhouse.io/sweetsecurity/jobs/4921065101,greenhouse
Sweet Security,Product Manager ,"Tel-Aviv, Israel",https://job-boards.eu.greenhouse.io/sweetsecurity/jobs/4907801101,greenhouse
Sweet Security,Technical Customer Success Manager ,"Tel-Aviv, Israel",https://job-boards.eu.greenhouse.io/sweetsecurity/jobs/4925949101,greenhouse
Taboola,Advertiser Account Manager (Domestic Market)- Maternity leave replacement,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8030531?gh_jid=8030531,greenhouse
Taboola,Business Applications Manager,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8074123?gh_jid=8074123,greenhouse
Taboola,Creative Strategist - Maternity Leave Replacement / Contractor,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8079088?gh_jid=8079088,greenhouse
Taboola,Product Analyst (Maternity-Leave Replacement),"Tel Aviv, Israel",https://www.taboola.com/careers/job/8035268?gh_jid=8035268,greenhouse
Taboola,Product Analyst - Taboola News (Maternity Leave Cover),"Tel Aviv, Israel",https://www.taboola.com/careers/job/8035266?gh_jid=8035266,greenhouse
Taboola,Programmatic Account Manager,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8009550?gh_jid=8009550,greenhouse
Taboola,Programmatic Operations Manager- Temp,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8081120?gh_jid=8081120,greenhouse
Taboola,Sr. Tech Operations Manager,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8076750?gh_jid=8076750,greenhouse
Taboola,Technical Account Manager- Temp,"Tel Aviv, Israel",https://www.taboola.com/careers/job/8059153?gh_jid=8059153,greenhouse
Torq,Data Engineer (Product & Customer Insights),Tel Aviv,https://job-boards.greenhouse.io/torq/jobs/6119508004,greenhouse
VAST Data,Infrastructure Group manager,Israel - Tel Aviv,https://www.comeet.com/jobs/vastdata/43.001/infrastructure-group-manager/A3.B25,comeet
VAST Data,Project and Release Manager,Israel - Tel Aviv,https://www.comeet.com/jobs/vastdata/43.001/project-and-release-manager/81.D6E,comeet
WalkMe,Product Analyst (Temporary Position),Tel Aviv,https://jobs.lever.co/walkme/a6e57bde-d152-445b-aec9-8e356dacee8e,lever
Wix,AI Creative Gen - Base44,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/Wix2/744000140209529,smartrecruiters
Wix,Conversion Rate Optimization (CRO) Manager - Base44,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://jobs.smartrecruiters.com/Wix2/744000140208660,smartrecruiters
Wix,Demand Generation Manager- Base44,"Tel Aviv, , Israel",https://jobs.smartrecruiters.com/Wix2/744000132934678,smartrecruiters
Wix,Revenue Operations Manager - Base44,"Tel Aviv, , Israel",https://jobs.smartrecruiters.com/Wix2/744000139343921,smartrecruiters
